ID,Grade,Comprehension,GazeShiftsAway,Condition
K82,1,0, ,Standard
K78,1,14.2857142857143,68.33333334,Standard
E24,1,14.2857142857143,32.666666663,Standard
E14,1,28.5714285714286,23.999999997,Standard
S93,1,14.2857142857143,67.33333333,Standard
K27,2,14.2857142857143, ,Standard
L159,1,0,47.66666666,Standard
SH4,1,42.8571428571429,28.333333333,Standard
E25,1,28.5714285714286,40.33333333,Standard
AS5,1,0,56.66666667,Standard
K77,1,100,8,Standard
K5,2,42.8571428571429,3.333333333,Standard
K92,1,14.2857142857143,6.666666667,Standard
T11,1,57.1428571428571,22.000000003,Standard
E70,1,28.5714285714286,21.000000003,Standard
T2,1,57.1428571428571,26.333333333,Standard
S101,1,28.5714285714286,14.66666667,Standard
S132,1,42.8571428571429,26.333333337,Standard
T1,1,28.5714285714286,30.33333333,Standard
H3,1,42.8571428571429,25.33333333,Standard
SH25,1,71.4285714285714,11.33333333,Standard
K95,1,57.1428571428571,28.999999997,Standard
K6,2,71.4285714285714,18.666666663,Standard
AS6,2,28.5714285714286,31,Standard
K97,1,42.8571428571429,18.999999997,Standard
K14,2,28.5714285714286,21.333333333,Standard
C12,2,57.1428571428571,6.666666667,Standard
SH56,2,57.1428571428571,.333333333,Standard
K24,2,28.5714285714286,24.000000003,Standard
K22,2,42.8571428571429,23.333333337,Standard
K32,2,42.8571428571429,21.666666663,Standard
K36,2,42.8571428571429,41,Standard
E32,1,71.4285714285714,9,Standard
S138,1,42.8571428571429,18.666666667,Standard
K8,2,42.8571428571429,16.333333333,Standard
V06,2,100,.666666667,Standard
SH8,1,100,2.333333333,Standard
K34,2,42.8571428571429,17.333333337,Standard
K38,2,28.5714285714286,17.333333337,Standard
K1,2,57.1428571428571,20.666666663,Standard
K18,2,57.1428571428571,30.333333337,Standard
K37,2,28.5714285714286,12.33333333,Standard
K16,2,28.5714285714286,36.000000003,Standard
K72,1,85.7142857142857,12.333333333,Standard
K25,2,71.4285714285714,12.666666667,Standard
K13,2,57.1428571428571,15.000000003,Standard
K12,2,14.2857142857143,26.999999997,Standard
K4,2,42.8571428571429,40.33333333,Standard
T16,1,71.4285714285714,8.666666666,Standard
T12,1,100,7.333333333,Standard
K35,2,57.1428571428571,16.666666663,Standard
K19,2,42.8571428571429,19.66666667,Standard
T8,1,57.1428571428571,14.333333333,Standard
K15,2,42.8571428571429,19.666666667,Standard
K10,2,85.7142857142857,10.333333334,Standard
T13,1,57.1428571428571,8,Standard
T6,1,57.1428571428571,13.000000003,Standard
K33,2,71.4285714285714,7.666666667,Standard
K17,2,71.4285714285714,8.666666667,Standard
K7,2,85.7142857142857,5,Standard
K82,1,71.4285714285714, ,Streamlined
K78,1,100,28,Streamlined
E24,1,100,22.000000003,Streamlined
E14,1,57.1428571428571,8.666666666,Streamlined
S93,1,100,29.000000003,Streamlined
K27,2,42.8571428571429, ,Streamlined
L159,1,71.4285714285714,26.66666667,Streamlined
SH4,1,71.4285714285714,17.666666667,Streamlined
E25,1,85.7142857142857,16.33333333,Streamlined
AS5,1,85.7142857142857,26.666666667,Streamlined
K77,1,57.1428571428571,2,Streamlined
K5,2,57.1428571428571,.333333333,Streamlined
K92,1,28.5714285714286,6.666666666,Streamlined
T11,1,85.7142857142857,16.666666666,Streamlined
E70,1,85.7142857142857,17.999999997,Streamlined
T2,1,100,10.333333333,Streamlined
S101,1,85.7142857142857,16.333333333,Streamlined
S132,1,100,13.000000003,Streamlined
T1,1,100,7.666666666,Streamlined
H3,1,100,10.666666667,Streamlined
SH25,1,71.4285714285714,7,Streamlined
K95,1,85.7142857142857,13.333333333,Streamlined
K6,2,100,15,Streamlined
AS6,2,71.4285714285714,12.333333337,Streamlined
K97,1,57.1428571428571,12,Streamlined
K14,2,85.7142857142857,13.666666663,Streamlined
C12,2,57.1428571428571,10.333333334,Streamlined
SH56,2,57.1428571428571,1.333333333,Streamlined
K24,2,85.7142857142857,11.666666667,Streamlined
K22,2,57.1428571428571,7.333333334,Streamlined
K32,2,85.7142857142857,8,Streamlined
K36,2,85.7142857142857,21.000000003,Streamlined
E32,1,85.7142857142857,3.666666667,Streamlined
S138,1,71.4285714285714,4.666666666,Streamlined
K8,2,57.1428571428571,17,Streamlined
V06,2,100,1.666666666,Streamlined
SH8,1,71.4285714285714,3,Streamlined
K34,2,57.1428571428571,11.333333334,Streamlined
K38,2,100,13.333333333,Streamlined
K1,2,100,2,Streamlined
K18,2,85.7142857142857,12.333333333,Streamlined
K37,2,42.8571428571429,4.333333334,Streamlined
K16,2,100,10,Streamlined
K72,1,85.7142857142857,12,Streamlined
K25,2,100,9,Streamlined
K13,2,85.7142857142857,5.333333334,Streamlined
K12,2,100,9.666666666,Streamlined
K4,2,85.7142857142857,9.333333333,Streamlined
T16,1,57.1428571428571,2.666666667,Streamlined
T12,1,42.8571428571429,2.333333334,Streamlined
K35,2,100,9.333333334,Streamlined
K19,2,85.7142857142857,9.333333333,Streamlined
T8,1,71.4285714285714,8,Streamlined
K15,2,100,10.666666667,Streamlined
K10,2,100,6.666666666,Streamlined
T13,1,85.7142857142857,3.666666666,Streamlined
T6,1,100,8.666666666,Streamlined
K33,2,100,8,Streamlined
K17,2,71.4285714285714,6,Streamlined
K7,2,85.7142857142857,4.333333333,Streamlined
